before;after
2728.06639455642;2728.06639455642
5011.23809866958;5011.23809866958
2144.97409545465;2144.97409545465
453.637468761693;453.637468761693
2154.5830026292;2154.5830026292
5180.32279499555;5180.32279499555
2672.77607393252;2672.77607393252
2582.16835459514;0
1605.72142797816;0
3032.52243293652;3032.52243293652
3993.1135617711;3993.1135617711
2377.79865227602;2377.79865227602
7235.59683772051;7235.59683772051
7891.30347183976;7891.30347183976
2368.32396644239;2368.32396644239
15202.2995686888;15202.2995686888
9590.20156199838;9590.20156199838
4294.1196983226;0
14020.2932313129;14020.2932313129
5527.00296776876;5527.00296776876
14559.2095685254;14559.2095685254
2037.36992851977;2037.36992851977
3216.03519549775;0
842.716861647345;842.716861647345
1788.55122758863;0
3876.51057349863;3876.51057349863
5498.42914969034;5498.42914969034
9542.9290489013;9542.9290489013
11826.9421939315;11826.9421939315
4428.02897330448;0
2554.50341021745;0
1139.98515809036;1139.98515809036
4781.38647823798;4781.38647823798
4287.96301603304;4287.96301603304
3186.9161058624;3186.9161058624
8122.4055564782;8122.4055564782
8764.79755534393;8764.79755534393
3499.65232461408;3499.65232461408
5994.36889056258;5994.36889056258
6847.96121484679;0
5024.93239560148;5024.93239560148
4278.78267670034;4278.78267670034
1543.2684610311;1543.2684610311
5996.020663764;0
9885.98507351304;9885.98507351304
6560.26919598961;6560.26919598961
6287.58272171679;6287.58272171679
4882.51006013466;4882.51006013466
3559.99744649378;3559.99744649378
2849.00082885502;2849.00082885502
7376.16047308279;7376.16047308279
5260.00607021822;5260.00607021822
2547.71184744481;2547.71184744481
16292.6557575424;16292.6557575424
7586.95294126282;7586.95294126282
3406.65612361212;3406.65612361212
10254.4384486031;10254.4384486031
13349.7344668107;13349.7344668107
7122.6559237287;7122.6559237287
1409.59035077397;0
3155.70449372917;3155.70449372917
8442.50974257383;0
4516.99900467999;4516.99900467999
21043.1084485948;21043.1084485948
2285.42259457498;0
5891.84722672822;5891.84722672822
4410.17251431907;0
12109.065012416;12109.065012416
17139.9269987363;17139.9269987363
3560.49751261314;3560.49751261314
11177.8534042567;11177.8534042567
2256.86275215477;2256.86275215477
14560.5038854348;14560.5038854348
9667.4207362593;9667.4207362593
3446.18826413687;3446.18826413687
12068.6944997517;0
3830.61343675277;0
7807.64156293779;7807.64156293779
2144.97409545465;0
3796.89572686656;3796.89572686656
7791.01611454671;7791.01611454671
9778.30953802832;0
5842.61377626676;5842.61377626676
10317.7241476815;0
7522.61522781361;0
2127.54506754238;2127.54506754238
3789.45321980364;3789.45321980364
2767.79960116826;2767.79960116826
5443.87566122608;5443.87566122608
11469.7593695828;11469.7593695828
9338.31264462839;9338.31264462839
7892.6342180199;0
4787.60690383156;4787.60690383156
5137.19161835486;5137.19161835486
5588.73016129004;0
3784.84020450587;0
8684.16123248835;8684.16123248835
6635.57024520477;0
5529.53007625654;5529.53007625654
5350.08113489723;5350.08113489723
8025.69904157941;0
2444.31434215448;0
1366.54835820379;0
2844.96546919989;0
3908.96231078393;0
11164.7431892367;11164.7431892367
6006.7664297351;6006.7664297351
11845.8126100249;0
1901.26745913155;0
2849.00082885502;2849.00082885502
1075.02276385807;0
4570.91855102877;0
14049.131255653;14049.131255653
3078.19792852578;0
8680.66158134905;8680.66158134905
11372.1011858495;11372.1011858495
9368.43803120208;0
6528.88474514373;0
9278.65232896378;0
5328.11903111193;0
10104.1705215647;0
13909.3784377112;13909.3784377112
6887.02127554979;0
4232.0641390218;4232.0641390218
4554.71854399359;0
5161.56169583483;0
3276.09805266129;0
6321.44172102111;0
951.092334473338;0
8711.92167185052;8711.92167185052
3987.04809673475;3987.04809673475
7237.67091777775;0
1074.17076695072;1074.17076695072
8759.17172271126;8759.17172271126
7894.53842595988;7894.53842595988
4074.95443053785;4074.95443053785
10467.5557081811;0
15637.0677221932;0
5294.68249972144;5294.68249972144
17679.6616107423;17679.6616107423
5584.47959783759;0
7773.2077781587;0
8453.28412355579;8453.28412355579
5371.16360053585;0
2297.07030627696;0
11372.1011858495;0
11372.1011858495;11372.1011858495
4698.2180740973;4698.2180740973
1996.68068798636;0
7403.68250762001;7403.68250762001
3728.24360672461;0
14296.1295762032;14296.1295762032
5944.07302973418;0
5842.61377626676;5842.61377626676
2849.00082885502;0
24059.341626164;24059.341626164
10337.4416106954;10337.4416106954
1490.18719754315;0
1490.18719754315;0
5751.37882100079;5751.37882100079
3617.06627821933;3617.06627821933
4988.83878418886;4988.83878418886
5038.93533090105;5038.93533090105
2598.821923736;0
3155.80041813959;0
4154.53217404074;0
9660.21016235181;9660.21016235181
3211.56188541615;3211.56188541615
4358.62780077254;0
8073.71205049921;0
10270.9764814441;0
16805.9429765147;16805.9429765147
7560.92294092445;0
2635.27928096588;0
16584.8628956926;16584.8628956926
4813.46723767309;4813.46723767309
3331.89923554755;3331.89923554755
4653.51829776085;0
4970.53938311791;0
7895.55864053168;7895.55864053168
2638.81245790064;0
5924.98255940649;0
8932.47601389168;0
4524.83057640648;0
6205.10675611329;0
9183.90420178608;0
8384.60023248913;0
7512.87398698774;0
9567.56848136734;0
9236.93439888182;9236.93439888182
1547.89111337593;0
5478.38846911353;0
4882.51006013466;0
4882.51006013466;0
4556.35987081748;0
365.291947971074;0
7993.48288364996;0
5431.53867271251;5431.53867271251
6512.09576653974;6512.09576653974
4787.60690383156;0
6991.69656675877;0
8625.12446103226;8625.12446103226
5818.5313779489;0
4784.54078202784;0
9781.43569840116;0
2057.93940045126;0
8229.16098276562;0
5053.70543050839;0
6668.6435950295;0
1497.86175942012;0
15848.1984622184;15848.1984622184
572.937155977355;0
8166.79198021769;0
2849.00082885502;0
7375.36314824436;0
5636.0975258857;0
10106.2207016205;0
12234.636975327;0
5986.12216892917;0
10381.2742576276;10381.2742576276
4640.15529842946;0
0;0
5529.53007625654;0
3111.27779304214;0
6588.84302832803;6588.84302832803
9513.56598121518;0
10704.4455464385;10704.4455464385
4253.1116936817;4253.1116936817
10029.4833020032;0
10439.7125614944;0
4384.69457277074;4384.69457277074
17410.891784774;17410.891784774
5146.58826867671;0
6786.92793493382;0
9559.9523501369;0
14249.1525980722;14249.1525980722
2846.14800462849;0
7435.91143722441;7435.91143722441
16867.7997055489;16867.7997055489
5102.99323557342;0
2849.00082885502;0
7773.2077781587;0
11194.4381179445;0
7899.99124495606;0
2482.60533541933;0
6853.9911474823;0
5286.81855040293;0
17708.1798359097;0
14304.6314349543;14304.6314349543
5688.49981414769;0
5564.95866581051;5564.95866581051
6556.43096813244;0
5760.731448322;0
10063.8243168221;0
12090.1434308886;0
726.271650568909;0
11229.4511854105;11229.4511854105
8202.92988343247;0
5019.6079807081;5019.6079807081
5398.73370963539;0
4530.76931894381;0
6247.54229565041;0
13087.7778183782;13087.7778183782
5359.73709872556;0
3398.26484556397;0
5272.67725628516;0
3543.12665269866;3543.12665269866
4388.47860678357;0
2400.77843464742;0
17708.1798359097;0
10117.6178454234;10117.6178454234
4728.38665135269;4728.38665135269
6681.74222638695;0
12545.6423023977;0
10096.0865232026;10096.0865232026
15082.6507187103;15082.6507187103
29469.7799724081;0
2891.14378023119;0
751.657512928968;0
4409.20289530554;0
3654.76045569446;0
5241.15080847311;0
9051.61164880401;0
185.942194614658;0
4882.51006013466;0
4213.14526252695;4213.14526252695
13908.8008617416;0
4107.90196135496;0
10309.2330282855;0
1332.11150765581;0
1150.99706524772;0
5145.51101094764;0
2849.00082885502;0
2382.80119302326;0
4512.39052267133;0
7164.6211731775;0
8693.72045790087;0
8595.80356994168;0
3301.14682646112;0
5802.59038272071;0
2584.89140892149;0
4358.20780034635;4358.20780034635
2993.86457765802;2993.86457765802
7867.2263393142;0
3749.77919188801;0
1853.63741370218;0
863.441608688266;0
7434.86761234218;0
4022.0846754843;0
4647.6811565003;0
2492.65263386542;0
2892.90794364368;0
5478.6513228955;0
9742.09196252804;0
5983.62051289992;0
2607.4339250766;0
1347.14312020655;0
4731.11682958703;0
13252.0733617684;0
11240.5367671097;0
10551.2908261723;0
4232.0641390218;0
486.270818357284;0
1736.20064981048;0
6786.92793493382;0
10467.5557081811;0
11273.8631480044;0
4539.95163882481;0
3423.21519319837;0
2723.19179368237;0
4779.82310522928;0
3507.56623957496;0
3183.33059553519;0
3385.15776475447;0
11350.0944017334;11350.0944017334
2936.54749423952;0
2796.21980527656;0
2606.20473614783;0
8233.54735647552;0
20046.7837822265;20046.7837822265
9975.17246567311;0
9595.43468832189;0
2266.56200043039;0
6446.2345162917;0
6348.59043532508;0
4211.53659958811;0
16825.5590076625;0
8962.25769955776;8962.25769955776
3761.4466645822;0
5553.55851403051;5553.55851403051
11430.5802249072;11430.5802249072
12615.1329403122;12615.1329403122
7235.70813558411;0
7310.65723061255;0
10610.946911289;0
15270.9074122634;15270.9074122634
